timestamp,time,x,y,z,alpha,beta,gamma
1635617334730,27176.299999952316,-0.6000000000000001,10.3,-1.5,-16,-25.1,7.699999999999999
1635617334738,27184.899999976158,-0.5,10.3,-1.4000000000000001,-13.100000000000001,-22.8,7.300000000000001
1635617334760,27206.5,-0.6000000000000001,10.3,-1.6,-8.4,-16.4,4.9
1635617334771,27218.19999998808,-0.6000000000000001,10.3,-1.8,-7.200000000000001,-14.100000000000001,4.4
1635617334789,27235.899999976158,-0.6000000000000001,10.3,-1.8,-6.8,-9.5,2.9
1635617334811,27257.5,-0.7000000000000001,10.3,-1.9000000000000001,-6,-4.300000000000001,1.7
1635617334825,27272.099999964237,-0.8,10.3,-1.8,-5.6,-2.6,1.1
1635617334839,27284.599999964237,-0.8,10.200000000000001,-1.9000000000000001,-4.5,-0.8,0.30000000000000004
1635617334855,27301.399999976158,-0.9,10.200000000000001,-2.1,-5.4,0.4,0.1
1635617334871,27318.099999964237,-1,10.200000000000001,-2.2,-6,-1.1,0.6000000000000001
1635617334888,27335.19999998808,-1.1,10.200000000000001,-1.8,-7.500000000000001,-3.6000000000000005,2.1
1635617334905,27351.399999976158,-1.1,10.200000000000001,-1.7000000000000002,-6.2,-4.4,3
1635617334922,27369.099999964237,-0.8,10.200000000000001,-1.8,-2.7,-3.4,2.7
1635617334938,27384.799999952316,-0.9,10.200000000000001,-1.9000000000000001,-0.8,-2.6,1.2000000000000002
1635617334955,27401.399999976158,-0.9,10.200000000000001,-1.9000000000000001,0.30000000000000004,-1.4,0.4
1635617334971,27418.099999964237,-0.8,10.200000000000001,-2,0.1,-0.30000000000000004,-0.1
1635617334988,27434.799999952316,-0.9,10.200000000000001,-2.2,-0.7,0.8,-0.6000000000000001
1635617335005,27451.5,-1,10.200000000000001,-2.1,-2.4000000000000004,0.1,-0.6000000000000001
1635617335021,27468,-1.2000000000000002,10.200000000000001,-2.2,-3,-1.1,0
1635617335038,27484.799999952316,-1,10.200000000000001,-2,-5.1000000000000005,-1.6,1.2000000000000002
1635617335055,27501.399999976158,-1.1,10.3,-2.3000000000000003,-5.8,-5,2.5
1635617335071,27518.099999964237,-0.9,10.3,-2.2,-7.300000000000001,-6.1000000000000005,3
1635617335088,27534.69999998808,-0.9,10.3,-2.2,-9.899999999999999,-9.5,3.5
1635617335105,27551.5,-0.8,10.3,-2.1,-13.8,-12.299999999999999,4.1
1635617335121,27568,-0.9,10.3,-1.9000000000000001,-15.100000000000001,-12.600000000000001,4.2
1635617335138,27584.69999998808,-0.8,10.3,-1.4000000000000001,-15.399999999999999,-11.3,4.1
1635617335155,27601.399999976158,-0.8,10.3,-1.2000000000000002,-11.2,-7.1000000000000005,3.1
1635617335171,27618.099999964237,-0.7000000000000001,10.3,-1.3,-8.700000000000001,-4.4,2.9
1635617335188,27634.799999952316,-0.6000000000000001,10.200000000000001,-1.5,-6,-0.6000000000000001,1.2000000000000002
1635617335205,27651.399999976158,-0.7000000000000001,10.3,-1.6,-5.4,0,-0.1
1635617335221,27668,-0.7000000000000001,10.3,-1.5,-5.1000000000000005,0.2,-0.2
1635617335238,27684.69999998808,-0.8,10.3,-1.4000000000000001,-4,1.9,0.1
1635617335255,27701.399999976158,-0.8,10.3,-1.4000000000000001,-1.8000000000000003,3.7000000000000006,-0.2
1635617335271,27718,-0.8,10.3,-1.3,-0.7,4.5,-0.5
1635617335288,27734.69999998808,-0.9,10.3,-1.3,2.1,6.4,-1
1635617335305,27751.399999976158,-0.8,10.3,-1.4000000000000001,5.1000000000000005,9.100000000000001,-1.3
1635617335322,27768.299999952316,-0.8,10.3,-1.5,6.600000000000001,9.899999999999999,-1.7
1635617335338,27784.69999998808,-1,10.4,-1.7000000000000002,8.5,9.8,-1.8000000000000003
1635617335355,27801.399999976158,-0.9,10.3,-2.2,6.500000000000001,8.899999999999999,-1.6
1635617335371,27818.099999964237,-1,10.3,-2.4000000000000004,3.3000000000000007,7.1000000000000005,-1.4
1635617335388,27834.799999952316,-0.9,10.3,-2,-2.5,2.2,-1.1
1635617335406,27852.799999952316,-1,10.200000000000001,-1.5,-2.8,-0.30000000000000004,-0.7
1635617335421,27868,-0.9,10.3,-1.5,0.1,-0.6000000000000001,0.1
1635617335438,27884.799999952316,-0.9,10.3,-1.6,1.1,0,0.4
1635617335455,27901.299999952316,-0.8,10.3,-1.9000000000000001,0.9000000000000001,-0.8,0.6000000000000001
1635617335473,27919.599999964237,-0.8,10.3,-2,-1.3,-3,0.7
1635617335488,27934.899999976158,-0.8,10.4,-1.9000000000000001,-2.6,-3.8,0.7
1635617335505,27951.399999976158,-0.8,10.3,-1.8,-4,-5.1000000000000005,0.7
1635617335522,27968.19999998808,-0.9,10.3,-1.8,-4.6,-5.500000000000001,0.7
1635617335538,27984.799999952316,-0.8,10.3,-1.7000000000000002,-5.8,-5.500000000000001,0.6000000000000001
1635617335555,28001.69999998808,-0.9,10.3,-1.6,-6.500000000000001,-5.500000000000001,0.8
1635617335571,28018.099999964237,-0.9,10.3,-1.5,-5.1000000000000005,-5.4,2
1635617335588,28034.899999976158,-0.8,10.3,-1.5,-4.4,-5.4,2.3
1635617335605,28051.5,-0.9,10.3,-1.6,-3.7000000000000006,-6.1000000000000005,2.3
1635617335622,28068.099999964237,-0.9,10.3,-1.7000000000000002,-3.5,-6.699999999999999,2.4000000000000004
1635617335638,28084.799999952316,-0.9,10.3,-1.7000000000000002,-3.8,-7,2.4000000000000004
1635617335655,28101.5,-0.9,10.3,-1.6,-4.7,-7.9,2.5
1635617335672,28118.19999998808,-0.8,10.4,-1.5,-5.4,-7.6,2.9
1635617335688,28134.69999998808,-0.8,10.4,-1.5,-5.500000000000001,-6.9,2.9
1635617335705,28151.69999998808,-0.9,10.3,-1.4000000000000001,-4.2,-6.9,2.5
1635617335722,28168.399999976158,-1,10.4,-1.4000000000000001,-2.3,-7.300000000000001,2.3
1635617335738,28184.799999952316,-1,10.3,-1.4000000000000001,-1.3,-7.8,2.5
1635617335755,28201.399999976158,-0.9,10.3,-1.6,-1,-7.699999999999999,3.1
1635617335771,28218,-0.8,10.3,-1.7000000000000002,-2.1,-8.8,3.1
1635617335788,28234.69999998808,-0.8,10.3,-1.6,-3,-9.600000000000001,2.9
1635617335805,28251.399999976158,-0.8,10.4,-1.5,-3.6000000000000005,-9.8,2.7
1635617335821,28268,-0.8,10.4,-1.4000000000000001,-2.7,-9.5,2.5
1635617335838,28284.69999998808,-0.8,10.3,-1.5,-2.6,-9.2,2.7
1635617335854,28301.399999976158,-0.8,10.3,-1.4000000000000001,-3.2,-8.899999999999999,2.9
1635617335871,28318,-0.7000000000000001,10.3,-1.4000000000000001,-3.8,-8.4,2.8
1635617335888,28334.69999998808,-0.7000000000000001,10.4,-1.4000000000000001,-3.9,-8.600000000000001,2.6
1635617335905,28351.399999976158,-0.8,10.4,-1.3,-3.2,-7.8,2.4000000000000004
1635617335921,28368,-0.7000000000000001,10.4,-1.4000000000000001,-2.7,-7,2.7
1635617335938,28384.599999964237,-0.7000000000000001,10.4,-1.4000000000000001,-2.8,-6.9,2.6
1635617335955,28401.299999952316,-0.7000000000000001,10.4,-1.5,-3.8,-6.8,2.9
1635617335971,28418,-0.8,10.4,-1.4000000000000001,-5.500000000000001,-7.500000000000001,2.9
1635617335988,28434.69999998808,-0.8,10.4,-1.4000000000000001,-6.1000000000000005,-7.300000000000001,3.1
1635617355027,47473.09999996424,-0.30000000000000004,9.4,-4.7,-39.300000000000004,-64.80000000000001,10.5
1635617355043,47489.69999998808,-0.1,9.4,-4.6000000000000005,-41.50000000000001,-65.6,10.700000000000001
1635617355060,47506.69999998808,-0.1,9.5,-4.1000000000000005,-43.300000000000004,-67.5,9.700000000000001
1635617355077,47523.19999998808,-0.30000000000000004,9.700000000000001,-3.6,-41.1,-65.7,10.1
1635617355093,47539.69999998808,-0.30000000000000004,9.700000000000001,-3.5,-39.2,-64.2,10.1
1635617355110,47556.5,-0.8,9.700000000000001,-3.6,-36,-61.50000000000001,10.9
1635617355127,47573,-0.9,9.8,-3.7,-37.300000000000004,-60.2,12.9
1635617355144,47589.89999997616,-0.9,9.8,-3.6,-39.400000000000006,-60.6,13.3
1635617355160,47606.299999952316,-0.6000000000000001,9.700000000000001,-3.1,-41.7,-58.1,13.200000000000003
1635617355176,47622.89999997616,-0.4,9.8,-2.9000000000000004,-37.9,-53.2,11.5
