timestamp,time,x,y,z,alpha,beta,gamma
1635520927880,46223,0.6789,8.2015,5.3029,-0.7775,-0.739,-1.091
1635520927891,46234,0.3566,8.2084,5.4143,-0.3474,-0.7145,-1.9216
1635520927908,46251,0.3832,8.1951,5.4208,-0.1212,0.1145,-1.6445
1635520927924,46266,0.429,8.1672,5.3679,-0.1035,0.8095,-1.4577
1635520927941,46284,0.4211,8.1339,5.3347,-0.2826,0.5913,-1.4415
1635520927958,46300.00000000001,0.4271,8.128,5.3329,-0.6113,0.006,-1.5754
1635520927975,46317,0.371,8.1145,5.3578,-0.5714,-0.6027,-1.5368
1635520927991,46334,0.3683,8.1306,5.4214,-0.3732,-0.9651,-1.3518
1635520928008,46351,0.3632,8.135,5.422,-0.0823,-0.9243,-1.0605
1635520928025,46367.00000000001,0.3859,8.1547,5.3648,-0.099,-0.4326,-0.7955
1635520928041,46384,0.4004,8.1395,5.3887,-0.0681,-0.2458,-0.5629
1635520928058,46401,0.4043,8.1279,5.3697,0.1189,-0.3999,-0.5116
1635520928075,46417,0.4106,8.157,5.3451,0.0631,-0.377,-0.4155
1635520928091,46434,0.3858,8.1318,5.4021,0.2263,-0.5234,-0.1539
1635520928108,46451,0.3989,8.1347,5.4089,0.2629,-0.566,-0.0728
1635520928129,46471,0.3745,8.1808,5.3627,0.2787,-0.3657,-0.0508
1635520928141,46484,0.3472,8.1873,5.3548,0.2656,-0.2718,-0.0906
1635520928158,46500,0.3433,8.1731,5.3353,0.2617,0.0281,0.1549
1635520928177,46519,0.3841,8.1566,5.3283,0.129,0.0342,0.639
1635520928192,46534,0.4232,8.1449,5.3711,-0.1594,-0.1058,0.9884
1635520928208,46550.00000000001,0.431,8.1237,5.4037,-0.3432,-0.2945,1.274
1635520928225,46567,0.4486,8.119,5.4151,-0.4384,-0.4618,1.5824
1635520928242,46584,0.4512,8.1539,5.3973,-0.2814,-0.3853,1.7975
1635520928258,46601,0.4473,8.1674,5.3956,-0.2275,-0.3184,1.8866
1635520928275,46617.00000000001,0.441,8.1142,5.3775,0.0412,-0.3004,1.9464
1635520928292,46634,0.4341,8.1117,5.359,0.2655,-0.2068,1.8225
1635520928308,46650,0.4232,8.1089,5.3534,0.5524,-0.176,1.6052
1635520928325,46667,0.4253,8.1576,5.3581,0.5456,-0.169,1.4349
1635520928342,46684,0.4603,8.1784,5.3834,0.3239,-0.0112,1.3063
1635520928358,46701,0.4592,8.1934,5.3805,-0.0202,-0.0285,1.4964
1635520928375,46717,0.4661,8.1684,5.3645,-0.186,-0.0277,1.4559
1635520928392,46734,0.4667,8.1698,5.3603,-0.3523,-0.0472,1.3596
1635520928408,46751,0.4745,8.1632,5.3455,-0.4015,-0.087,1.2846
