timestamp,time,x,y,z,alpha,beta,gamma
1635511062494,18930.30000001192,0,0.30000000000000004,9.9,0.2,0.8,0.1
1635511062511,18946.90000000596,0,0.30000000000000004,9.9,-0.1,0,0.1
1635511062526,18962.70000001788,0,0.30000000000000004,9.9,0,0,0
1635511062543,18979.40000000596,0,0.2,9.9,0,0,0
1635511062560,18996,0,0.30000000000000004,9.9,0,0,0
1635511062576,19012.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511062593,19029.20000001788,0,0.30000000000000004,9.9,0,0,0
1635511062610,19046.100000023842,0,0.30000000000000004,9.9,0,0,0
1635511062627,19062.70000001788,0,0.30000000000000004,9.9,-0.1,0,0
1635511062646,19082.100000023842,0,0.30000000000000004,9.9,0,0,0
1635511062660,19095.90000000596,0,0.30000000000000004,9.9,0,0,0
1635511062676,19112.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511062694,19129.40000000596,0,0.30000000000000004,9.9,0,0,0
1635511062710,19146.100000023842,0,0.30000000000000004,9.9,0,0,0
1635511062726,19162.70000001788,0,0.30000000000000004,9.9,0,0,0
1635511062743,19179.40000000596,0,0.30000000000000004,9.9,0,0,0
1635511062760,19196,0,0.30000000000000004,9.9,0,0,0
1635511062777,19212.70000001788,0,0.30000000000000004,9.9,0,0,0
1635511062793,19229.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511062810,19246,0,0.30000000000000004,9.9,0,0,0
1635511062826,19262.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511062843,19279.40000000596,0,0.30000000000000004,9.9,0,0,0
1635511062860,19295.90000000596,0,0.30000000000000004,9.9,0,0,0
1635511062876,19312.600000023842,-0.1,0.2,9.9,-0.1,-0.1,-0.1
1635511062893,19329.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511062910,19346,0,0.30000000000000004,9.9,0,0,0
1635511062926,19362.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511062943,19379.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511062960,19396,0,0.30000000000000004,9.9,0,0,0
1635511062976,19412.70000001788,0,0.30000000000000004,9.9,0.1,0,0
1635511062993,19429.20000001788,0,0.30000000000000004,9.9,0,0,0
1635511063010,19446,0,0.30000000000000004,9.9,-0.1,0,0.1
1635511063027,19462.70000001788,0,0.30000000000000004,9.9,0,0,0
1635511063043,19479.40000000596,0,0.2,9.9,0,0,0
1635511063060,19496,0,0.30000000000000004,9.9,0,0,0
1635511063077,19512.80000001192,0,0.30000000000000004,9.9,0,0,0
1635511063093,19529.40000000596,0,0.30000000000000004,9.9,0,0,0
1635511063110,19546.100000023842,0,0.30000000000000004,9.9,-0.1,0,0
1635511063126,19562.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063143,19579.5,0,0.30000000000000004,9.9,0,0,0
1635511063160,19596.100000023842,0,0.30000000000000004,9.9,0,0,0
1635511063176,19612.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063193,19629.20000001788,0,0.30000000000000004,9.9,0,0,0
1635511063210,19646,0,0.2,9.9,0,0,0
1635511063226,19662.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063243,19679.5,0,0.30000000000000004,9.9,0,0,0
1635511063260,19696,0,0.30000000000000004,9.9,-0.1,0,0
1635511063276,19712.70000001788,0,0.30000000000000004,9.9,0,0,0
1635511063293,19729.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511063310,19746.20000001788,0,0.30000000000000004,9.9,0,0,0
1635511063326,19762.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063343,19779.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511063360,19796,0,0.30000000000000004,9.9,0,0,0
1635511063382,19812.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063393,19829.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511063410,19845.90000000596,0,0.30000000000000004,9.9,0,0,0
1635511063426,19862.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063443,19879.30000001192,0,0.30000000000000004,9.9,0,0,0
1635511063460,19896,0,0.30000000000000004,9.9,0,0,0
1635511063476,19912.600000023842,0,0.30000000000000004,9.9,-0.1,0,0.1
1635511063493,19929.20000001788,0,0.30000000000000004,9.9,0,0,0
1635511063510,19946,0,0.2,9.9,0,0,0
1635511063526,19962.600000023842,0,0.30000000000000004,9.9,-0.1,0,0
1635511063544,19979.600000023842,0,0.30000000000000004,9.9,-0.1,0,0
1635511063560,19996,0,0.30000000000000004,9.9,-0.1,0,0
1635511063577,20012.80000001192,0,0.2,9.9,-0.1,0.1,-0.1
1635511063593,20029.20000001788,-0.1,0.2,9.9,0,0,0
1635511063610,20046.100000023842,0,0.30000000000000004,9.9,-0.1,0,-0.1
1635511063626,20062.600000023842,0,0.30000000000000004,9.9,0,0,0
1635511063643,20079.5,0,0.2,9.9,-0.1,-0.1,0
