timestamp,time,x,y,z,alpha,beta,gamma
1635520021783,19607,-0.7374,4.7803,8.0673,-7.9947,0.3595,5.7292
1635520021822,19647.000000000004,-0.7374,4.7803,8.0673,-8.2372,0.4205,5.4833
1635520021863,19688,-0.7374,4.7803,8.0673,-8.2372,0.4205,5.4833
1635520021874,19698,-0.7374,4.7803,8.0673,-8.2372,0.4205,5.4833
1635520021892,19716,-0.7374,4.7803,8.0673,-8.2372,0.4205,5.4833
1635520021910,19734,-0.7374,4.7803,8.0673,-8.2372,0.4205,5.4833
1635520021923,19747,-2.4404,5.1814,7.589,-0.0593,-2.0207,0.9606
1635520021948,19773,-2.4752,5.3042,7.6972,2.0814,-0.6812,-0.5785
1635520021958,19782,-2.4752,5.3042,7.6972,2.0814,-0.6812,-0.5785
1635520021989,19813,-2.5438,5.2574,7.5974,2.7504,-1.5956,-0.5022
1635520022007,19831,-2.4656,5.2042,7.5565,2.755,-0.9849,-1.3658
1635520022023,19848,-2.4722,5.1936,7.5495,2.5762,0.3553,-1.8124
1635520022039,19864,-2.5625,5.3018,7.5853,0.3235,1.026,-1.7673
1635520022057,19881,-2.5211,5.2749,7.5938,0.8113,2.1224,-1.4757
1635520022073,19897.000000000004,-2.5815,5.2758,7.7822,-0.6047,-2.3863,0.4158
1635520022090,19914,-2.4828,5.2461,7.7186,-0.5465,-2.2038,1.0855
1635520022107,19931,-2.4288,5.2874,7.7535,0.9154,-2.5708,0.9125
1635520022125,19949,-2.4454,5.2877,7.7541,2.2585,-2.6325,0.1847
1635520022140,19964.000000000004,-2.3887,5.3627,7.7354,3.2994,-1.4756,-0.6221
1635520022157,19981,-2.455,5.3293,7.6585,2.5745,-0.136,-1.6198
1635520022174,19998,-2.425,5.3127,7.5947,0.3826,-2.6947,-2.6285
1635520022191,20015,-2.3539,5.2916,7.5815,0.0181,-3.67,-3.1041
1635520022208,20032,-2.389,5.2758,7.5995,0.1424,-3.3659,-3.5352
1635520022232,20056,-2.5334,5.2797,7.6166,1.1776,-2.8179,-3.1119
1635520022243,20068,-2.5334,5.2797,7.6166,1.7864,-2.5134,-2.9311
1635520022256,20080.000000000004,-2.5804,5.3344,7.6647,1.3618,-1.7209,-3.0047
1635520022274,20098,-2.5455,5.3575,7.728,0.6352,-1.1112,-3.7484
1635520022290,20114,-2.5456,5.3133,7.703,-0.6385,-0.4406,-4.8001
1635520022306,20131,-2.518,5.3261,7.6275,-2.6441,-0.3181,-5.6628
1635520022323,20147.000000000004,-2.5341,5.3211,7.7222,-4.8339,-1.2927,-6.5715
1635520022340,20164,-2.6208,5.2871,7.7758,-2.039,-1.2929,-4.9143
1635520022356,20180,-2.6631,5.258,7.8159,-0.885,-1.1709,-4.18
1635520022373,20197,-2.6845,5.275,7.7928,2.3351,-0.5615,-2.1029
1635520022391,20215,-2.6423,5.3166,7.753,4.28,-0.9881,-1.175
1635520022406,20231,-2.5802,5.22,7.5881,6.2182,-3.6688,0.5784
1635520022423,20247,-2.5506,5.1812,7.4567,4.9978,-4.8256,0.8963
1635520022440,20264,-2.5506,5.1812,7.4567,4.51,-4.8255,1.017
1635520022457,20281,-2.5977,5.2102,7.5169,1.8911,-2.3862,1.8903
1635520022474,20298,-2.5604,5.2234,7.5332,-0.7821,1.3934,1.5229
1635520022490,20314,-2.5224,5.2099,7.5173,-1.569,2.2469,0.6533
1635520022506,20331,-2.5663,5.161,7.5637,-3.0285,1.6383,-0.1369
1635520022523,20347,-2.5111,5.1679,7.586,-3.3953,-0.2504,-0.6003
1635520022540,20364,-2.6142,5.1607,7.6936,-2.5471,-1.3465,-0.3392
1635520022560,20385,-2.6653,5.2355,7.7276,-0.9647,-1.0414,-0.0341
1635520022573,20397.000000000004,-2.6616,5.2487,7.6893,-0.1739,-0.0658,0.5037
