timestamp,time,x,y,z,alpha,beta,gamma
1635613537560,67706,7.2764,0.1326,6.5121,-0.4313,0.4001,0.3733
1635613537567,67715,7.207,-0.0412,6.4192,0.3007,-1.8409,-0.0348
1635613537581,67729,7.1986,0.0022,6.3843,0.4026,-0.7779,-0.0147
1635613537599,67746,7.1965,0.0024,6.4045,0.4219,1.3232,0.1193
1635613537615,67763,7.1584,-0.0227,6.4941,0.2797,2.5126,-0.0556
1635613537632,67780,7.126,-0.0485,6.5625,0.3825,2.7932,-0.1451
1635613537648,67795,7.0397,-0.0799,6.6861,0.4298,2.3872,-0.1756
1635613537665,67813,7.0002,-0.0807,6.8006,0.5765,1.1027,-0.4979
1635613537681,67829.00000000001,6.9948,-0.0518,6.8304,0.4962,0.3847,-0.5634
1635613537699,67846,7.0235,0.0114,6.8787,0.4127,-1.6041,-0.6404
1635613537715,67862,7.075,0.0667,6.8438,0.3835,-3.1379,-0.4891
1635613537732,67880,7.0891,0.0733,6.8073,0.2712,-3.7578,-0.3755
1635613537748,67896,7.1456,0.0376,6.7418,0.1921,-4.841,-0.2106
1635613537765,67913,7.1655,-0.012,6.627,0.4925,-5.5871,-0.1662
1635613537783,67930,7.1862,-0.0527,6.4688,0.7664,-5.2489,-0.1158
1635613537798,67946,7.214,-0.0407,6.4088,0.8988,-4.2624,-0.0569
1635613537816,67963.00000000001,7.2398,-0.0211,6.2972,0.7361,-1.4921,0.1182
1635613537832,67979,7.2425,-0.0124,6.3029,0.6111,0.0029,0.2298
1635613537848,67995,7.2095,0.0091,6.3802,0.4483,2.2091,0.216
1635613537866,68013,7.1406,0.0163,6.4884,0.3222,3.2622,0.4057
1635613537883,68030,7.1241,-0.001,6.5872,0.4696,3.3501,0.3601
1635613537899,68046,7.0982,-0.0661,6.7241,0.7075,2.5358,0.0829
1635613537916,68063,7.0645,-0.0431,6.8429,0.861,0.5763,-0.5828
1635613537932,68080,7.0529,0.007,6.8934,0.7923,-0.8513,-0.534
1635613537949,68096,7.075,0.0245,6.8693,0.8721,-2.4979,-0.23
1635613537966,68113,7.1328,0.038,6.7472,0.7624,-3.9294,0.1779
1635613537983,68130,7.1756,0.0359,6.6765,0.7569,-4.3459,0.1977
1635613537999,68147,7.251,0.0223,6.5161,0.6834,-4.0842,0.2411
1635613538016,68163,7.2296,0.001,6.3487,0.4193,-2.0633,-0.0625
1635613538033,68180,7.1569,-0.0181,6.3078,0.301,0.5802,-0.3046
1635613538049,68196,7.1391,-0.01,6.3433,0.1503,1.5575,-0.4341
1635613538065,68213.00000000001,7.1609,0.0102,6.5158,-0.1207,2.5022,-0.2586
1635613538083,68230,7.1756,0.0148,6.6183,-0.0255,2.2817,-0.3237
1635613538099,68246,7.1398,-0.0036,6.7478,0.1999,0.9096,-0.0537
1635613538117,68264,7.1162,-0.0015,6.7515,0.3919,-0.4019,0.2144
1635613538133,68280,7.1642,0.0323,6.693,0.4609,-1.2527,0.2897
1635613538149,68296,7.1651,0.0127,6.6664,0.4297,-1.7161,0.2368
1635613538166,68313,7.1913,-0.0064,6.5736,0.3912,-1.6526,0.076
1635613538183,68331,7.1638,0.0004,6.5079,0.485,-1.0533,-0.0737
1635613538198,68346,7.1626,0.0135,6.498,0.5018,-0.2951,0.059
1635613538216,68363,7.1519,0.0172,6.5068,0.5577,0.245,0.1054
1635613538233,68380,7.1527,0.009,6.5616,0.6528,0.1916,-0.1206
1635613538251,68399,7.1693,-0.0021,6.5695,0.8547,0.212,-0.0853
1635613538266,68413,7.1856,-0.0009,6.6164,1.2604,0.103,-0.0847
1635613538283,68430,7.1404,-0.0021,6.6493,1.7494,-0.5246,-0.3168
1635613538299,68446,7.15,0.0277,6.6292,2.2725,-1.2131,-0.4513
1635613538317,68464,7.1756,0.0615,6.5281,2.185,-0.9505,0.1569
1635613538333,68480,7.2458,0.023,6.4705,1.2542,0.2756,0.6662
1635613538349,68496,7.2303,-0.0274,6.4772,1.0941,0.7247,0.4842
1635613538366,68513,7.1723,-0.06,6.554,1.803,0.7784,0.081
1635613538383,68530,7.1543,0.0397,6.4959,2.2458,0.9596,0.0716
1635613538399,68546,7.1536,0.0603,6.4931,2.0157,1.692,0.1095
1635613538416,68563,7.151,0.0311,6.5639,1.42,2.2961,-0.1649
1635613538433,68580,7.1465,0.0236,6.6149,1.0984,2.1781,-0.175
1635613538449,68597.00000000001,7.1552,0.0341,6.7145,0.9955,1.7886,-0.0312
1635613538465,68612,7.1774,0.1086,6.5758,1.4008,1.8498,0.3093
1635613538482,68629,7.1787,0.1235,6.4654,1.1802,2.6764,0.3852
1635613538499,68646,7.1706,0.0308,6.447,0.4396,4.4195,0.3167
1635613538516,68663,7.0756,-0.1921,6.6602,0.7811,3.8847,-1.1926
1635613538549,68696,7.1235,-0.0422,6.5775,1.7066,2.5666,-1.7957
1635613538551,68699,7.2594,0.2951,6.2194,0.7929,4.7279,-1.0553
1635613538566,68713.00000000001,7.2826,0.3359,6.6619,-0.2672,6.5688,0.2684
1635613538582,68729,7.1374,0.1549,7.266,1.0685,3.2603,0.3449
1635613538599,68746,6.7391,0.0706,6.9284,6.0024,-1.8975,0.1253
1635613538615,68762,6.8369,0.0227,6.9288,5.711,-3.3203,-0.5244
1635613538632,68780,7.268,0.1275,6.6005,0.6905,-0.5132,0.3682
1635613538649,68796,7.3361,0.0911,6.6813,-0.5319,-0.4822,0.2461
1635613538665,68813,7.1938,-0.0067,6.5293,-1.6205,0.5197,0.4531
1635613538683,68830,6.999,-0.1025,6.5109,0.4535,0.7422,0.1554
1635613538699,68846,7.0794,-0.0247,6.4488,0.9557,1.1342,0.3495
1635613538715,68862,7.3851,0.164,5.8782,6.2945,5.4012,1.8565
1635613538732,68880,7.4924,0.2904,6.27,-2.659,9.5338,1.4828
1635613538749,68896,7.3269,0.1034,6.79,-1.0168,8.4826,1.4796
1635613538765,68912,7.0375,0.2577,6.6819,1.8283,8.2157,2.3592
1635613538782,68929,6.8935,0.2692,6.7343,1.5604,8.0424,2.2593
1635613538799,68946,6.6243,0.0175,7.1512,-0.1939,4.4287,-0.0491
1635613538815,68962,6.4997,-0.0557,7.6541,1.5728,-3.2791,-0.8539
1635613538833,68980,6.6104,-0.0223,7.6626,3.1055,-10.6404,-0.1535
1635613538849,68996,6.7675,0.0507,7.2796,2.7813,-12.796,-0.0512
1635613538866,69013,7.0207,0.0419,7.018,0.8146,-15.6662,0.4795
1635613538883,69030,7.2178,-0.0557,6.6637,-1.2463,-15.2125,-0.0824
1635613538909,69056,7.2345,-0.1435,6.3181,-1.4242,-12.3137,-0.6718
1635613538918,69065,7.34,-0.1674,6.2296,-1.3549,-10.7731,-1.2592
1635613538932,69080,7.5585,0.0193,6.0299,-1.91,-6.3009,-1.3447
1635613538949,69096,7.664,0.0881,5.8912,-1.533,-3.6581,-0.9436
1635613538966,69113,7.5908,0.0983,5.5447,-0.7362,3.5078,-1.2376
1635613538983,69130,7.334,0.0037,5.5951,-0.9054,11.3914,-2.6594
1635613538999,69146,7.1391,-0.0121,5.9102,-1.4868,14.0788,-3.6961
1635613539025,69172,6.7162,0.3786,7.2767,-6.0107,11.5436,-6.8774
1635613539034,69182,6.7359,0.4592,7.8884,-5.4415,6.8546,-6.1497
1635613540457,70604,7.1228,-0.0721,6.1844,1.8973,9.6009,1.6903
1635613540473,70620,7.074,-0.2213,6.4127,2.3622,10.3252,1.6637
1635613540483,70630,7.1385,-0.3078,6.7029,1.5369,9.6459,0.821
1635613540501,70648,7.0747,-0.0569,6.8395,2.4542,7.9343,0.9276
1635613540517,70664,6.7557,-0.2482,7.0645,1.8468,5.5222,-0.699
1635613540679,70826.00000000001,6.9095,-0.2114,6.2225,-0.0218,5.9965,-2.4965
1635613540685,70832.00000000001,6.9083,-0.0637,6.3639,0.1863,6.6118,-2.5157
1635613540699,70846,6.968,0.0127,6.5746,0.0122,6.9962,-2.3674
1635613540716,70863,7.081,0.1836,7.0144,-0.6032,5.6482,-1.5665
1635613540732,70879,7.0467,0.2869,7.2417,-0.5855,1.8799,-0.3754
1635613540749,70896,6.9942,0.2792,7.2308,-0.6951,-0.2262,0.2824
1635613540766,70913,6.9257,0.1685,7.1222,-1.0283,-3.9745,0.6412
1635613540782,70930,6.9773,0.018,6.9218,-0.6276,-6.512,0.5435
1635613540799,70946,7.0346,-0.0608,6.7991,-0.4174,-7.0965,0.2956
1635613540816,70963.00000000001,7.1117,-0.0833,6.5233,-0.1827,-6.5896,-0.0428
1635613540832,70980,7.1564,-0.0407,6.3196,-0.2997,-4.1228,-0.3367
1635613540849,70996,7.1611,0.0049,6.2661,-0.3449,-2.7689,-0.2839
1635613540865,71013,7.1964,0.0317,6.2638,-0.05,0.2771,-0.0216
1635613540882,71029,7.2025,0.0299,6.3092,0.0622,1.4601,0.0994
1635613540898,71046,7.2176,-0.0091,6.4265,0.2021,3.3542,0.1219
1635613540916,71063,7.2016,-0.0177,6.6037,0.0837,4.1088,0.1855
1635613540932,71079.00000000001,7.1274,-0.0329,6.7458,0.3468,3.2817,-0.0708
1635613540949,71096,7.0684,-0.0292,6.7701,0.4554,2.8008,-0.146
1635613540966,71113,6.9788,-0.009,6.7937,0.3711,1.7192,-0.1715
1635613540983,71130,7.0083,0.0112,6.869,0.1579,0.1534,-0.0375
1635613540999,71147,7.0472,0.0238,6.8914,0.0206,-0.8025,-0.0231
1635613541037,71184,7.1664,-0.095,6.7609,0.009,0.8746,0.4522
1635613541049,71196,7.1103,-0.0893,6.7424,0.3262,0.7021,0.459
