timestamp,time,x,y,z,alpha,beta,gamma
1635534653600,51387,-0.4562,6.1972,7.7993,-1.0559,-5.6164,0.473
1635534653613,51400,-1.8039,5.8041,7.3008,-10.0822,-16.1194,-2.0198
1635534653627,51414,-1.4955,5.874,7.4745,-12.0168,-16.9546,-1.0926
1635534653643,51430,-1.2091,5.8846,7.7963,-11.9159,-17.602,-3.8919
1635534653660,51447,-1.1322,5.9034,7.8834,-11.2743,-14.6022,-7.1848
1635534653676,51464,-1.1513,5.8556,7.9791,-10.6856,-9.6202,-9.893
1635534653693,51480.00000000001,-1.2312,5.8327,7.8796,-11.7135,-6.3265,-12.7263
1635534653710,51497,-1.2721,5.9008,7.8195,-13.8078,-7.2321,-14.4166
1635534653727,51514,-1.258,5.867,7.6655,-16.2712,-11.2487,-15.8785
1635534653743,51530,-1.302,5.7169,7.8358,-18.2435,-18.6112,-15.9391
1635534653759,51546,-1.3102,5.6017,7.9636,-16.76,-18.0113,-15.6175
1635534653776,51564,-1.3684,5.4298,8.024,-15.3883,-14.826,-15.4444
1635534653793,51580,-1.3812,5.4121,7.8733,-15.8203,-11.7657,-17.6763
1635534653810,51597,-1.3895,5.4854,7.9148,-17.3401,-13.5929,-21.9994
1635534653826,51614.00000000001,-1.1893,5.77,8.1874,-16.2671,-12.1998,-28.1119
1635534653843,51631,-1.0231,5.309,8.2492,-13.8896,-10.1131,-32.5444
1635534653860,51647,-1.2755,5.0857,8.1707,-14.5872,-16.303,-28.5416
1635534653877,51664,-1.6281,5.0398,7.9278,-16.7486,-21.8144,-19.9217
1635534653893,51680,-1.7451,5.3308,7.8109,-21.2882,-24.0389,-12.4858
1635534653910,51697,-1.6496,5.394,7.9094,-23.6885,-25.1764,-13.7268
1635534653926,51714,-1.4175,5.4534,8.3073,-22.8631,-21.7898,-21.4903
1635534653943,51730.00000000001,-1.2427,5.4643,8.8979,-19.367,-14.39,-30.9153
1635534653960,51747,-1.1387,5.324,9.1301,-16.9867,1.2967,-39.4431
1635534653977,51764,-1.1372,4.7476,8.8695,-17.4746,20.164,-38.8323
