timestamp,time,x,y,z,alpha,beta,gamma
1635624043553,102310.09999990463,-1.6,4.4,6.7,76.5,33.6,71.39999999999999
1635624043580,102338.89999997616,-1.1,4.9,7,47.7,-0.30000000000000004,67.4
1635624043595,102354.09999990463,-0.6000000000000001,5.300000000000001,7.5,39.699999999999996,-13.6,60.7
1635624043605,102363.69999992847,-0.6000000000000001,5.300000000000001,7.5,32.2,-26.799999999999997,52.60000000000001
1635624043630,102388.59999990463,0,5.300000000000001,7.800000000000001,11.700000000000001,-51.4,24.900000000000002
1635624043637,102395.89999997616,0.6000000000000001,5,8.1,11.700000000000001,-51.4,24.900000000000002
1635624043651,102410.09999990463,1,4.5,7.7,3.7000000000000006,-42.800000000000004,6.8
1635624043668,102426.79999995232,1,4.5,7.7,1.9,-27.9,-0.7
1635624043685,102443.59999990463,0.4,4.4,7.1000000000000005,-2.5,15.000000000000002,-8.4
1635624043729,102488.19999992847,-1,4.6000000000000005,6.5,-21.400000000000002,80.8,3.3000000000000007
1635624043748,102506.89999997616,-1.4000000000000001,4.9,6.7,-25.6,73.30000000000001,10
1635624043757,102515.89999997616,-1.4000000000000001,5.1000000000000005,7.300000000000001,-25.7,62.900000000000006,12.8
1635624043777,102535,-1.1,5.2,7.800000000000001,-24.400000000000002,49.1,15.000000000000002
1635624043787,102546.09999990463,-1.1,5.2,7.800000000000001,-19.1,13.900000000000002,16.200000000000003
1635624043801,102560.09999990463,-0.6000000000000001,5.2,8.4,-9.4,-22.5,14.800000000000002
1635624043818,102576.69999992847,-0.1,5.2,8.9,-3.3000000000000007,-38.800000000000004,13.5
1635624043834,102593.29999995232,0.5,5.1000000000000005,9.3,8.100000000000001,-68.4,9.3
1635624043851,102610.09999990463,1.3,5.1000000000000005,9.700000000000001,12.8,-95.4,3.2
1635624043871,102629,1.3,5.1000000000000005,9.700000000000001,13.399999999999999,-105.7,-1.1
1635624043910,102669,2.9000000000000004,4.9,9.600000000000001,-10.4,-94,-28.200000000000003
1635624043918,102676.69999992847,3.6,4.800000000000001,9,-10.4,-94,-28.200000000000003
1635624043935,102693.39999997616,4,4.4,8.700000000000001,-44.4,-75.7,-38.300000000000004
1635624043951,102710,4,4.4,8.700000000000001,-73.10000000000001,-41.4,-42.1
1635624043968,102726.69999992847,4,3.8000000000000003,9.200000000000001,-83.10000000000001,-26.000000000000004,-41.300000000000004
1635624043984,102743.5,3.8000000000000003,3.6,10,-92.7,-6.600000000000001,-37
1635624044001,102760,3.7,3.2,10.5,-85.5,2.4000000000000004,-32
1635624044018,102776.59999990463,3.6,2.8000000000000003,10.9,-76,2.1,-28.800000000000004
1635624044035,102793.69999992847,3.7,2.7,10.9,-47.400000000000006,-7,-21.8
1635624044052,102810,4,2.7,10.4,-11.2,-23.700000000000003,-17.799999999999997
1635624044068,102826.69999992847,4,2.7,10.4,6.2,-34.1,-19.300000000000004
1635624044085,102843.59999990463,4.2,2.9000000000000004,9.3,30.799999999999997,-55.5,-28.700000000000003
1635624044101,102860.09999990463,4,3.1,7.9,36.1,-71.19999999999999,-41.900000000000006
1635624044118,102876.79999995232,3.7,3.2,6.5,31,-76.3,-48.10000000000001
1635624044135,102893.5,3.7,3.2,6.5,8.8,-80.10000000000001,-58
1635624044151,102910,3.8000000000000003,3,6.800000000000001,-20.5,-77.9,-64.30000000000001
1635624044168,102926.79999995232,3.8000000000000003,3,6.800000000000001,-34.300000000000004,-73.7,-66.60000000000001
1635624044184,102943.39999997616,3.9000000000000004,2.7,7.5,-62.6,-50.3,-72
1635624044201,102960.29999995232,3.9000000000000004,2.4000000000000004,8,-69.5,-30.799999999999997,-75.60000000000001
1635624044218,102976.89999997616,3.5,2.4000000000000004,8.3,-69.80000000000001,-21.500000000000004,-76.80000000000001
1635624044235,102993.39999997616,2.8000000000000003,2.5,8.4,-68,-8.600000000000001,-77.3
1635624044251,103010.09999990463,2.4000000000000004,2.6,8.4,-67.3,-5.8,-73.9
1635624044268,103026.69999992847,2.4000000000000004,2.6,8.4,-67.00000000000001,-7.6,-71.19999999999999
1635624044284,103043.39999997616,2.2,2.7,8.700000000000001,-65.2,-15.5,-66.2
1635624044301,103060.09999990463,2.2,2.7,8.9,-60.6,-24.5,-61.300000000000004
1635624044318,103076.69999992847,2.2,2.8000000000000003,9.1,-57.400000000000006,-27.5,-58.400000000000006
1635624044335,103093.59999990463,2.1,3,9.1,-50.1,-29.900000000000006,-52.00000000000001
1635624044351,103110.39999997616,2.1,3,9.1,-44.300000000000004,-27.800000000000004,-43.4
1635624044368,103126.59999990463,2,3.2,9.1,-41.6,-24.8,-38.50000000000001
1635624044384,103143.29999995232,2,3.4000000000000004,9.200000000000001,-35.599999999999994,-17.200000000000003,-28.500000000000004
1635624044401,103160,2,3.6,9.600000000000001,-25.5,-9.3,-19.6
1635624044418,103177,2.1,3.6,9.8,-18.5,-6.1000000000000005,-16.4
1635624044435,103193.5,2.1,3.7,9.9,-3.7000000000000006,-2.6,-12.600000000000001
1635624044451,103210.19999992847,1.9000000000000001,3.9000000000000004,9.700000000000001,10.9,1.2000000000000002,-8.700000000000001
1635624044468,103226.69999992847,1.9000000000000001,3.9000000000000004,9.700000000000001,17.300000000000004,3.6000000000000005,-6.1000000000000005
1635624044485,103243.5,1.6,4.1000000000000005,9.5,26.5,8.700000000000001,0.30000000000000004
1635624044501,103260.09999990463,1.2000000000000002,4.5,9.200000000000001,27.700000000000003,12.200000000000001,6.600000000000001
1635624044518,103276.89999997616,0.9,5,9,23.800000000000004,11.000000000000002,9.3
1635624044535,103293.39999997616,0.8,5.300000000000001,9.3,5.300000000000001,-2.6,12.600000000000001
1635624044551,103310,0.8,5.300000000000001,9.3,-23.099999999999998,-29.400000000000002,11.1
