timestamp,time,x,y,z,alpha,beta,gamma
1635483625500,222387.09999999404,0.6000000000000001,9.9,3.3000000000000003,-46.7,16.5,-0.9000000000000001
1635483625552,222440.79999999702,0.2,10.200000000000001,2.4000000000000004,-54.300000000000004,16.3,-1.3
1635483625566,222454.79999999702,0.6000000000000001,10,2.1,-51.4,12,-4.6
1635483625578,222466.09999999404,1,9.9,2.2,-49.6,8.899999999999999,-6.1000000000000005
1635483625590,222478.29999999702,1,9.9,2.2,-49.6,8.899999999999999,-6.1000000000000005
1635483625606,222495,0.9,9.9,2,-54.1,9.600000000000001,-3.3000000000000007
1635483625623,222511.8999999985,0.9,10,1.8,-57.3,10,-0.8
1635483625641,222528.5,0.9,9.9,1.5,-46.199999999999996,6,-0.6000000000000001
1635483625656,222545,1,9.9,1.2000000000000002,-28.1,0.30000000000000004,-1.2000000000000002
1635483625673,222561.69999999553,1,9.9,1.2000000000000002,-28.1,0.30000000000000004,-1.2000000000000002
1635483625690,222578.69999999553,1.1,9.9,1,-17,-3.4,-1.6
1635483625706,222595,1.1,9.9,1,2.3,-11.1,-2.4000000000000004
1635483625724,222612.19999999553,1,10,1.1,16,-16.1,-2.9
1635483625740,222628.29999999702,1.1,10,1.1,25.1,-18.4,-1.9
1635483625756,222645,1.1,10,1.1,25.1,-18.4,-1.9
1635483625773,222661.69999999553,1,10,1.1,33,-18.900000000000002,1.8000000000000003
1635483625790,222678.3999999985,1,10,1,35.2,-16.6,8.3
1635483625806,222695,1,10,0.9,33,-13.100000000000001,13.100000000000001
1635483625823,222711.79999999702,1,10,1,30.9,-11.2,12.600000000000001
1635483625840,222728.29999999702,0.9,10,1,29.600000000000005,-10.299999999999999,9.100000000000001
1635483625856,222745.09999999404,0.9,10,1,29.600000000000005,-10.299999999999999,9.100000000000001
1635483625873,222761.69999999553,0.9,10,1,27.5,-9.899999999999999,5.7
1635483625890,222778.29999999702,0.9,10,1,24,-9.700000000000001,3.3000000000000007
1635483625907,222795.19999999553,1,10,0.9,18.6,-9.100000000000001,1.8000000000000003
1635483625923,222811.79999999702,0.9,10.100000000000001,0.8,13.6,-8,0.7
1635483625940,222828.29999999702,0.9,10.100000000000001,0.9,9.899999999999999,-7.400000000000001,-0.5
1635483625957,222845.19999999553,0.9,10.100000000000001,0.9,9.899999999999999,-7.400000000000001,-0.5
1635483625973,222861.79999999702,0.9,10,0.9,7.6,-7.300000000000001,-2.4000000000000004
1635483625990,222878.3999999985,0.9,10,1,5.8,-7.200000000000001,-3.9
1635483626007,222895,1,9.9,1.1,4.300000000000001,-6.9,-4.9
1635483626023,222911.69999999553,1.2000000000000002,9.9,1.2000000000000002,2.9,-5.7,-4.1
1635483626040,222928.29999999702,1.3,10,1.2000000000000002,2.9,-5.7,-4.1
1635483626056,222945.09999999404,1.3,10,1.2000000000000002,1.4,-3.8,-1.8000000000000003
1635483626073,222961.59999999404,1.4000000000000001,10,1.2000000000000002,0.4,-2.5,-0.5
1635483626090,222978.3999999985,1.3,9.9,1.2000000000000002,-1.7,-0.6000000000000001,1.5
1635483626107,222995.09999999404,1.4000000000000001,9.8,1.2000000000000002,-3.6000000000000005,2.7,7.1000000000000005
1635483626123,223011.69999999553,1.5,9.9,1.2000000000000002,-4,4.800000000000001,10.200000000000001
1635483626140,223028.29999999702,1.5,9.9,1.2000000000000002,-4,4.800000000000001,10.200000000000001
1635483626156,223045,1.6,9.9,1.2000000000000002,-3.9,6,11.900000000000002
1635483626173,223061.69999999553,1.4000000000000001,9.9,1.2000000000000002,-4.300000000000001,6.699999999999999,13.000000000000002
1635483626190,223078.3999999985,1.4000000000000001,9.9,1.2000000000000002,-5.6,7.1000000000000005,13.000000000000002
1635483626206,223095.09999999404,1.3,9.9,1.1,-6.600000000000001,7.200000000000001,12.7
1635483626223,223111.69999999553,1.3,10,1.1,-6.600000000000001,6.699999999999999,12
1635483626240,223128.3999999985,1.3,10,1.1,-6.600000000000001,6.699999999999999,12
1635483626257,223145.09999999404,1.2000000000000002,10,1.1,-5.500000000000001,6,11.700000000000001
1635483626273,223161.69999999553,1.3,10,1.1,-3.8,4.5,10.200000000000001
1635483626290,223178.3999999985,1.3,9.9,1.1,-2.5,1.8000000000000003,7.400000000000001
1635483626307,223195.09999999404,1.3,10,1,-1.7,-0.5,4.6
1635483626323,223211.59999999404,1.3,9.9,1,-0.5,-2.8,2.3
1635483626340,223228.29999999702,1.3,9.9,1,-0.5,-2.8,2.3
1635483626357,223245.19999999553,1.3,10,1,0.8,-4.6,1.1
1635483626373,223261.5,1.3,10,1,1.7,-6.1000000000000005,0
1635483626390,223278.3999999985,1.3,10,1,2.1,-7.400000000000001,-1.9
1635483626407,223295.09999999404,1.2000000000000002,10,1,2.5,-8.100000000000001,-4.1
1635483626423,223311.69999999553,1.2000000000000002,10,1,2.5,-8.100000000000001,-4.1
1635483626440,223328.29999999702,1.3,10,1,0,0,0
1635483626457,223345.09999999404,1.3,10,1,0,0,0
1635483626474,223361.79999999702,1.3,10,1,0,0,0
1635483626490,223378.3999999985,1.2000000000000002,10,0.9,0,0,0
1635483626506,223395,1.2000000000000002,10,1,0,0,0
1635483626523,223411.59999999404,1.2000000000000002,10,1,0,0,0
1635483626540,223428.29999999702,1.3,9.9,1.1,0,0,0
1635483626556,223445,1.3,10,1.1,0,0,0
1635483626573,223461.69999999553,1.3,10,1.1,0,0,0
1635483626590,223478.29999999702,1.2000000000000002,10,1.1,0,0,0
