timestamp,time,x,y,z,alpha,beta,gamma
1635489652502,96971,0.8938,7.141,6.8809,-5.1019,2.7052,0.3554
1635489652515,96983,0.1876,7.6809,6.4359,2.7078,-2.4216,0.1278
1635489652532,97000,0.1528,7.7011,6.3316,4.2855,-0.6205,0.7857
1635489652548,97017,0.1121,7.6722,6.2944,5.4369,1.7123,1.4943
1635489652565,97033,0.0959,7.6635,6.2816,6.2292,2.9246,1.7
1635489652582,97050,0.1875,7.6585,6.1999,5.8805,2.7646,1.5008
1635489652599,97067,0.2569,7.6778,6.1158,4.9651,2.3586,0.9767
1635489652615,97083,0.2731,7.6929,6.0914,4.3464,1.8098,0.2419
1635489652632,97100.00000000001,0.2286,7.7243,6.0216,3.2314,0.6743,-0.0325
1635489652648,97117,0.1995,7.7198,5.9702,2.3759,0.1961,0.0305
1635489652665,97134,0.2171,7.7098,5.9393,1.4496,0.4586,0.3205
1635489652682,97150,0.2465,7.7071,5.9159,0.3548,1.0461,0.3527
1635489652698,97167,0.2572,7.7241,5.9312,-1.3507,1.3506,0.5039
1635489652715,97183,0.2421,7.7209,5.9153,-2.7593,2.4925,0.5117
1635489652732,97200,0.2117,7.684,5.9156,-4.1007,3.5922,0.5125
1635489652748,97217,0.2177,7.6565,5.9922,-5.2246,5.6063,0.5833
1635489652765,97233,0.2143,7.6433,6.0528,-5.6108,5.8551,0.2045
1635489652782,97250,0.1847,7.6493,6.1914,-5.5846,4.7083,-0.0904
1635489652798,97267,0.1713,7.6243,6.299,-4.9672,2.2008,-0.3404
1635489652815,97284,0.1621,7.6245,6.3054,-4.0215,0.5871,-0.479
1635489652832,97300,0.1375,7.6106,6.3455,-3.1138,-1.1132,-0.5218
1635489652849,97317,0.1682,7.6462,6.287,-2.3014,-1.5095,-0.6514
1635489652865,97333,0.1686,7.6501,6.2619,-1.6467,-1.0282,-0.8494
1635489652882,97350.00000000001,0.1701,7.6507,6.2724,-1.1854,-0.168,-0.6038
1635489652898,97367,0.1624,7.6378,6.2641,-0.178,0.7746,-0.4145
1635489652915,97383,0.113,7.5536,6.2308,1.3257,1.334,-0.5814
1635489652932,97400,0.1302,7.5691,6.2607,1.3551,1.3641,-0.0727
1635489652948,97417,0.1426,7.5863,6.2557,1.8022,0.7409,0.4797
